Subset,N Features,Per Label MCC @ best threshold,Per Label MCC @ 0.5,Mean MCC @ best threshold,Mean MCC @ 0.5,HBOND MCC @ best threshold,HBOND threshold,HBOND MCC @ 0.5,VDW MCC @ best threshold,VDW threshold,VDW MCC @ 0.5,IONIC MCC @ best threshold,IONIC threshold,IONIC MCC @ 0.5,PIPISTACK MCC @ best threshold,PIPISTACK threshold,PIPISTACK MCC @ 0.5,PICATION MCC @ best threshold,PICATION threshold,PICATION MCC @ 0.5,SSBOND MCC @ best threshold,SSBOND threshold,SSBOND MCC @ 0.5,PIHBOND MCC @ best threshold,PIHBOND threshold,PIHBOND MCC @ 0.5
All features,74,"[0.3845, 0.202, 0.586, 0.8551, 0.4697, 0.9078, 0.1121]","[0.3642, 0.2, 0.4556, 0.843, 0.2005, 0.9049, 0.0971]",0.5024,0.4379,0.3845,0.63,0.3642,0.202,0.56,0.2,0.586,0.17,0.4556,0.8551,0.33,0.843,0.4697,0.08,0.2005,0.9078,0.37,0.9049,0.1121,0.33,0.0971
All except 3Di,34,"[0.3017, 0.1512, 0.5784, 0.8531, 0.4677, 0.892, 0.0971]","[0.2917, 0.1496, 0.4526, 0.8389, 0.1929, 0.8798, 0.0686]",0.4773,0.4106,0.3017,0.61,0.2917,0.1512,0.52,0.1496,0.5784,0.17,0.4526,0.8531,0.33,0.8389,0.4677,0.06,0.1929,0.892,0.35,0.8798,0.0971,0.51,0.0686
All except Atchley,64,"[0.2852, 0.1764, 0.1356, 0.1249, 0.0614, 0.155, 0.0727]","[0.2455, 0.1757, 0.089, 0.0351, 0.0, 0.0, 0.0]",0.1445,0.0779,0.2852,0.69,0.2455,0.1764,0.49,0.1757,0.1356,0.06,0.089,0.1249,0.06,0.0351,0.0614,0.03,0.0,0.155,0.1,0.0,0.0727,0.15,0.0
Atchley only,10,"[0.2093, 0.1042, 0.5506, 0.8527, 0.4509, 0.8665, 0.0979]","[0.1975, 0.097, 0.5456, 0.8527, 0.4438, 0.8665, 0.0717]",0.4475,0.4393,0.2093,0.33,0.1975,0.1042,0.53,0.097,0.5506,0.9,0.5456,0.8527,0.07,0.8527,0.4509,0.96,0.4438,0.8665,0.01,0.8665,0.0979,0.92,0.0717
Environmental only,42,"[0.141, 0.0743, 0.0774, 0.0772, 0.029, 0.038, 0.0092]","[0.1398, 0.0735, 0.0208, 0.0412, -0.0, 0.0233, 0.0008]",0.0638,0.0428,0.141,0.48,0.1398,0.0743,0.45,0.0735,0.0774,0.01,0.0208,0.0772,0.01,0.0412,0.029,0.01,-0.0,0.038,0.01,0.0233,0.0092,0.84,0.0008
Structural only,22,"[0.1165, 0.0703, 0.0366, 0.0612, 0.0255, 0.0471, 0.0124]","[0.1018, 0.0675, 0.0147, 0.0191, 0.0, 0.0, 0.0]",0.0528,0.029,0.1165,0.75,0.1018,0.0703,0.54,0.0675,0.0366,0.03,0.0147,0.0612,0.04,0.0191,0.0255,0.02,0.0,0.0471,0.16,0.0,0.0124,0.16,0.0
