HBOND_threshold,HBOND_mcc,HBOND_bal_acc,HBOND_f1,HBOND_ap,HBOND_auroc,VDW_threshold,VDW_mcc,VDW_bal_acc,VDW_f1,VDW_ap,VDW_auroc,IONIC_threshold,IONIC_mcc,IONIC_bal_acc,IONIC_f1,IONIC_ap,IONIC_auroc,PIPISTACK_threshold,PIPISTACK_mcc,PIPISTACK_bal_acc,PIPISTACK_f1,PIPISTACK_ap,PIPISTACK_auroc,PICATION_threshold,PICATION_mcc,PICATION_bal_acc,PICATION_f1,PICATION_ap,PICATION_auroc,SSBOND_threshold,SSBOND_mcc,SSBOND_bal_acc,SSBOND_f1,SSBOND_ap,SSBOND_auroc,PIHBOND_threshold,PIHBOND_mcc,PIHBOND_bal_acc,PIHBOND_f1,PIHBOND_ap,PIHBOND_auroc,model,fold,macro_mcc
0.42,0.23073304383668494,0.6116232816536421,0.7983126841398327,0.8277355301839554,0.669154631330469,0.49,0.13020784763465681,0.5649487893246727,0.5834098134659247,0.5822625222992606,0.5913355155740267,0.77,0.4206914613092205,0.9016446559800755,0.35616534493648677,0.3175864857132004,0.9664464111327792,0.8300000000000001,0.637991445984408,0.9738223197818283,0.5981970075989994,0.47096639573290044,0.98205655285177,0.74,0.30850431943305834,0.9514423963245262,0.1903123345685548,0.08133696591616521,0.9686421647638629,0.99,0.847453857635334,0.9997512799980588,0.8362183754993342,0.8265692013837637,0.9998377285845137,0.8300000000000001,0.07993055280204442,0.7764492777256675,0.0236737729300942,0.011736300650267258,0.9279340592822003,logreg,0,0.37935893266220105
0.4,0.23537990963426986,0.6092388826137607,0.8094614538331499,0.829494447679991,0.6724846910814593,0.49,0.13195185261975423,0.5656548924629415,0.5903447538862575,0.5880286859506985,0.5930785009858519,0.73,0.42477813981695495,0.9123429087357413,0.3557812851586358,0.3256280811725142,0.965353082916241,0.8200000000000001,0.6344833753444681,0.9750315250154216,0.5932156898601079,0.4549653127999534,0.9807256976423042,0.72,0.30694458992452917,0.9516516564000126,0.18855005388955812,0.0830528490016133,0.9683260393013378,0.99,0.8519446478398648,0.9996013114223266,0.8415124698310539,0.8952395766826735,0.9998298537647863,0.8300000000000001,0.07699051741865126,0.7634168171278428,0.023199095830111236,0.013712437740334978,0.9135997824419534,logreg,1,0.3803532903712132
0.39,0.22201029268371128,0.5984903929174501,0.818978549700922,0.8308937474741412,0.6670930966762272,0.53,0.12835157007141298,0.560800552326375,0.4779933834125696,0.581475969277147,0.5902543981464801,0.73,0.4181484319415113,0.908442048867681,0.3492810626088078,0.3095376911201149,0.9637872732588162,0.81,0.6347977076104109,0.9776145288774114,0.5918367346938775,0.45511499810729905,0.9821306185560884,0.73,0.30710132196355455,0.9532687122817243,0.18811881188118812,0.08023038658517911,0.9682160459008685,0.99,0.7810695084915934,0.9996259467590813,0.7581699346405228,0.7067898889049741,0.9997226776941142,0.76,0.06487086501907961,0.754356563757912,0.01734570391286809,0.009710223556529556,0.8978805218946877,logreg,2,0.3651928139687534
0.4,0.23447556480885237,0.6090692692491148,0.8111510598910683,0.8327285404244187,0.6739542717584659,0.51,0.13120895033437374,0.565287570963381,0.5450762244019381,0.5842799069131352,0.5914939358462488,0.73,0.42835494496753534,0.9128652712857258,0.3602504414833842,0.32469263110346597,0.9653935762577944,0.8200000000000001,0.6393320676507247,0.976148688811632,0.5989473210670745,0.4692879312053053,0.9811153288956898,0.75,0.2993627060845369,0.9438499989619424,0.1829121540312876,0.0779022517484912,0.9681806647564553,0.99,0.8582424787758097,0.9983387359893001,0.8489208633093526,0.8754463198652153,0.9998568863040307,0.81,0.06490548490736978,0.7562157676288221,0.01715322447633185,0.0107830913233001,0.9012674437415492,logreg,3,0.3794117425041718
0.42,0.23488144290894586,0.6134278487814707,0.8011562585219526,0.8291912326040307,0.6713445376382902,0.49,0.12588685469845418,0.5627148725881257,0.5849531899206648,0.5828994604228261,0.587127244265405,0.73,0.4171599159877493,0.9137719535274254,0.3448841242314362,0.31996371184776634,0.964270869822776,0.8200000000000001,0.6522802469826666,0.9765811622070937,0.614990269141311,0.48249162533127216,0.9830377168893749,0.74,0.30370504157506506,0.9350672791639144,0.19093655589123867,0.07950985214194022,0.9662176458014547,0.99,0.8710848047660058,0.9981190615575679,0.8634361233480177,0.8525635949664021,0.999890277848319,0.55,0.0655281022617173,0.8209150875630624,0.013915408961314117,0.010259569092293752,0.902024968447307,logreg,4,0.38150377274008634
0.48,0.35988608788724563,0.6727399846514235,0.8337216495126292,0.8783600830935445,0.7561053852641884,0.49,0.20260012446473166,0.6005423999536941,0.6272660992682751,0.6572456687333912,0.6495825152125203,0.71,0.5694542266609481,0.9428458747752815,0.5263416793742929,0.5075269561393985,0.9841168350604982,0.72,0.8566351769009621,0.9936912476366925,0.8515035103987283,0.8054738526692795,0.9962997427808411,0.68,0.4628440604539276,0.9597466073967538,0.37378000527565286,0.3324080280976301,0.9918854391026942,0.54,0.8772284989755368,0.9918643147705344,0.8716502115655853,0.8481701157118389,0.9998655294298447,0.37,0.09854767489812712,0.7987949048773901,0.03259186832885195,0.03570978337803912,0.9459617148291602,rf,0,0.4895994071773541
0.49,0.36476360531717045,0.6802107484576778,0.8287045357147794,0.8790876864510234,0.7582602594272367,0.51,0.20662316243311227,0.6028876524515053,0.5865144488048519,0.6611454564807983,0.653483202808378,0.6900000000000001,0.5776200436707799,0.9433677352639642,0.5369535292163099,0.512043401218821,0.9839317455978823,0.62,0.858002276210522,0.9947051416271167,0.8528208790495359,0.8061633422206309,0.9962382615144887,0.63,0.4550499358444059,0.9602213144956336,0.3636137999503599,0.296962913627285,0.9909914043735559,0.63,0.9018280341078551,0.9892732724217292,0.8990342405618964,0.9210160657045727,0.9998674353030259,0.39,0.1025331060217094,0.7752739925124805,0.03805787150564002,0.027255609934959835,0.9460317968431515,rf,1,0.49520288051507927
0.51,0.36536679509638104,0.687798270201991,0.8217224386246534,0.884171802002208,0.7598518197375815,0.52,0.20786482855620617,0.600805730391852,0.546332214319409,0.6574864392309046,0.6529518089723878,0.68,0.5733434967516914,0.9492358758904124,0.5281857602461882,0.5151558259824028,0.9840172473407618,0.66,0.8486604750366472,0.994442702479648,0.8422568040035648,0.7972718765780311,0.9962332985010384,0.72,0.45608051901888536,0.9397904164466693,0.3751212079235351,0.3350726709160653,0.9920021266787906,0.64,0.8283226967543709,0.991130615487352,0.8166189111747851,0.8289572151146978,0.999833352831977,0.89,0.14077299106844038,0.5136458113312877,0.05263157894736842,0.05324007306527369,0.939564104718567,rf,2,0.48863025746894595
0.46,0.3711243633329255,0.6710218943541959,0.8458520567806864,0.8829545810801165,0.7610691042499557,0.51,0.20383819076638468,0.6014498526841188,0.5833730297575638,0.655665964732195,0.6485310570539807,0.74,0.5841357646019357,0.932713194277958,0.550978067575578,0.5125332774536155,0.9840905200929202,0.77,0.8557880587264997,0.9918968751401164,0.8511775938892425,0.8150274425180566,0.9961989457871254,0.73,0.4423084644958799,0.9220544602827223,0.36625874125874125,0.3226518467714359,0.9915585648957665,0.7000000000000001,0.8783861541286965,0.9730857261293818,0.8761408083441982,0.8880506529685805,0.9998884544962825,0.9,0.10594325569000142,0.5056179775280899,0.022222222222222223,0.03291562463590707,0.9477278917919122,rf,3,0.49164632167747474
0.48,0.3717545054290854,0.6785721649500238,0.8376871355209331,0.8823219153308526,0.7615770826678334,0.5,0.20155550430440974,0.6007899302017462,0.605470746039857,0.6576735558720228,0.6487263294553093,0.76,0.5679061938030555,0.9270835846583436,0.5330273398523249,0.49218594547838845,0.9829406682590399,0.63,0.8540703612679309,0.9944026983384925,0.8485279844710449,0.8039166707399688,0.9959722083032873,0.59,0.44233667446470254,0.9560068770559466,0.34945586457073763,0.31273547871154284,0.989788188853024,0.6,0.9065933897617542,0.9880264056968333,0.9042386185243328,0.9027858984300706,0.9999170229655017,0.2,0.10054526420200231,0.8757895357040901,0.026951313755795982,0.021881775707123147,0.9475157992862968,rf,4,0.49210884189042003
